cell_id,direction,distance_km,dist_zone,total_new,canopy_loss_ha,trees_lost,co2_loss_kg_yr
350,W,8.862772749500156,6-10km,0,0.0,0.0,0.0
351,W,8.793839617045517,6-10km,0,0.0,0.0,0.0
352,W,8.752970330770914,6-10km,0,0.0,0.0,0.0
353,W,8.740558564096034,6-10km,0,0.0,0.0,0.0
354,W,8.75672532476777,6-10km,0,0.0,0.0,0.0
355,W,8.80131313012245,6-10km,0,0.0,0.0,0.0
356,W,8.87389357697637,6-10km,0,0.0,0.0,0.0
357,W,8.97378747333249,6-10km,0,0.0,0.0,0.0
358,W,9.100095385081179,6-10km,0,0.0,0.0,0.0
359,W,9.251735535488052,6-10km,0,0.0,0.0,0.0
360,W,9.427485604319376,6-10km,0,0.0,0.0,0.0
361,NW,9.626025099732793,6-10km,0,0.0,0.0,0.0
362,NW,9.845975503814865,6-10km,0,0.0,0.0,0.0
363,NW,10.085936150043734,10-15km,0,0.0,0.0,0.0
364,NW,10.344514605518988,10-15km,0,0.0,0.0,0.0
365,NW,10.62035106881276,10-15km,0,0.0,0.0,0.0
366,NW,10.912136877159716,10-15km,0,0.0,0.0,0.0
367,NW,11.218627617801815,10-15km,0,0.0,0.0,0.0
368,NW,11.538651568876766,10-15km,1,0.01215,0.972,21.384
369,NW,11.871114287588124,10-15km,0,0.0,0.0,0.0
370,NW,12.215000156775096,10-15km,0,0.0,0.0,0.0
371,NW,12.56937163230733,10-15km,0,0.0,0.0,0.0
372,NW,12.933366832812286,10-15km,0,0.0,0.0,0.0
373,NW,13.306196001604874,10-15km,0,0.0,0.0,0.0
374,NW,13.687137262194831,10-15km,0,0.0,0.0,0.0
375,NW,14.075531991196597,10-15km,0,0.0,0.0,0.0
376,NW,14.470780049335126,10-15km,0,0.0,0.0,0.0
377,NW,14.872335043202602,10-15km,0,0.0,0.0,0.0
378,SW,16.6494297091806,15+km,0,0.0,0.0,0.0
379,SW,16.216854936823662,15+km,0,0.0,0.0,0.0
380,SW,15.78826331307591,15+km,0,0.0,0.0,0.0
381,SW,15.36398818159059,15+km,0,0.0,0.0,0.0
382,SW,14.94439718573794,10-15km,1,0.01215,0.972,21.384
383,SW,14.529896133356516,10-15km,0,0.0,0.0,0.0
384,SW,14.12093325694748,10-15km,0,0.0,0.0,0.0
385,SW,13.718003879872683,10-15km,1,0.01215,0.972,21.384
386,SW,13.321655484557414,10-15km,0,0.0,0.0,0.0
387,SW,12.932493156784396,10-15km,0,0.0,0.0,0.0
388,SW,12.551185348456613,10-15km,0,0.0,0.0,0.0
389,SW,12.17846985677382,10-15km,17,0.20655,16.524,363.528
390,SW,11.815159857292885,10-15km,0,0.0,0.0,0.0
391,SW,11.462149748385853,10-15km,0,0.0,0.0,0.0
392,SW,11.120420462170417,10-15km,0,0.0,0.0,0.0
393,SW,10.791043770483704,10-15km,0,0.0,0.0,0.0
394,SW,10.475184965313586,10-15km,0,0.0,0.0,0.0
395,SW,10.174103127969977,10-15km,0,0.0,0.0,0.0
396,SW,9.889148035073857,6-10km,0,0.0,0.0,0.0
397,SW,9.62175260857614,6-10km,0,0.0,0.0,0.0
398,SW,9.373419742104714,6-10km,0,0.0,0.0,0.0
399,SW,9.145702382141845,6-10km,0,0.0,0.0,0.0
400,SW,8.940175974987948,6-10km,0,0.0,0.0,0.0
401,W,8.758402871801932,6-10km,0,0.0,0.0,0.0
402,W,8.601889052169007,6-10km,0,0.0,0.0,0.0
403,W,8.472034564782042,6-10km,0,0.0,0.0,0.0
404,W,8.370080290409303,6-10km,1,0.00945,0.756,16.632
405,W,8.297054806914016,6-10km,0,0.0,0.0,0.0
406,W,8.253725999206154,6-10km,0,0.0,0.0,0.0
407,W,8.240562315219046,6-10km,0,0.0,0.0,0.0
408,W,8.257708015669051,6-10km,0,0.0,0.0,0.0
409,W,8.304975380642713,6-10km,1,0.00945,0.756,16.632
410,W,8.381854834946632,6-10km,1,0.00945,0.756,16.632
411,W,8.487541745120012,6-10km,0,0.0,0.0,0.0
