period,morans_i,expected_i,z_score,p_value,significant
2023-05-19,0.1491143439453132,-0.0004027386226339106,14.569754116237355,0.001,True
2023-11-15,0.13997898855314944,-0.0004027386226339106,14.298535064170544,0.001,True
2024-05-13,0.18961448809863585,-0.0004027386226339106,21.59021373162797,0.001,True
2024-11-09,0.13687497946687152,-0.0004027386226339106,15.516678320681596,0.001,True
2025-01-01,0.11487697695750058,-0.0004027386226339106,13.227902909028904,0.002,True
